"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"NK cells","CD8 T cells","HLA-C","CD8A",0.000731179101048043,553.2,0.156708984899682,273,1.11509654313376,392,1.65216573119197,160,0.96666047053796,64,0,1877
"NK cells","CD8 T cells","HLA-B","CD8B",0.000760989329857638,540,0.16273732613376,247,1.11396993698272,396,1.69524685116776,142,0.96854812620272,38,0,1877
"NK cells","CD8 T cells","HLA-A","CD8A",0.000768580572782583,552,0.161209868264955,253,1.11305134789563,397,1.67092182692128,150,0.965853971494756,83,0,1877
"CD8 T cells","CD8 T cells","HLA-C","CD8B",0.000791691401813299,552,0.16641645877418,229,1.10954837089932,400,1.61000007119508,172,0.965921329541716,82,0,1877
"DCs","Monocytes","CD14","TLR4",0.000854559179538849,775.4,0.201914249723312,108,2.00576527206154,28,1.73106889105242,137,0.906580950966465,1727,0,1877
"Monocytes","Monocytes","S100A9","TLR4",0.000854559179538849,536.6,0.186823828590087,137,2.055395708659,25,2.38308833930235,39,0.941806696814999,605,0,1877
"DCs","DCs","S100A9","CD68",0.000880860608360128,534.8,0.136255616388893,411,1.88191238842012,45,2.70050719430878,15,0.9556039972802,326,0,1877
"Monocytes","Monocytes","S100A12","TLR4",0.000930533446445734,735.4,0.18586929612573,141,1.77944207581603,53,1.8866820602714,106,0.913321647626044,1500,0,1877
"NK cells","CD8 T cells","HLA-B","CD8A",0.000950234321576701,561.8,0.151665143045888,299,1.09488154685923,419,1.59315428614246,182,0.969077268139641,32,0,1877
"DCs","Monocytes","SERPINA1","LRP1",0.000990336080509409,521.4,0.18449234410086,144,2.247523303558,4,2.19684205113789,57,0.945493440345182,525,0,1877
"CD8 T cells","CD8 T cells","HLA-C","CD8A",0.00100486078280608,576.2,0.155093958004636,285,1.09045998077582,425,1.50790750616978,228,0.96649313548983,66,0,1877
"CD8 T cells","CD8 T cells","HLA-A","CD8B",0.00109111782423917,563.8,0.168679330296414,218,1.08131946619656,434,1.58611806040397,187,0.964847294257529,103,0,1877
"Monocytes","Monocytes","S100A8","TLR4",0.00109552185865995,544.6,0.183536693294341,149,2.01748072531366,27,2.3322829083852,43,0.941196058088837,627,0,1877
"CD8 T cells","CD8 T cells","LCK","CD8A_CD8B",0.00112105208455461,562.6,0.318510505163659,20,1.17618795450831,320,1.65603397268607,159,0.949840760285276,437,0,1877
"B cells","B cells","BTLA","CD79A",0.00113956685876518,645.4,0.689898000109246,2,1.40788837229806,151,2.36564785530719,42,0.923365559710689,1155,0,1877
"Monocytes","B cells","TNFSF13B","HLA-DPB1",0.00122523788392705,534.8,0.168836707061573,217,1.75736235299363,56,2.03384731080272,77,0.949457523518607,447,0,1877
"NK cells","CD8 T cells","HLA-E","CD8B",0.00126885582874005,574,0.170845167290305,203,1.06340449781314,451,1.65839413861832,156,0.96128048635691,183,0,1877
"CD8 T cells","CD8 T cells","HLA-A","CD8A",0.00127993751539716,588,0.15720287020854,272,1.06223107607307,452,1.48402549537866,249,0.965436476588523,90,0,1877
